a,b,c,expected
661d,2c6b,24cf,56c1
255f,f5ef,2d63,dff8
4251,5e87,dbde,642b
13a3,88cc,75d1,75d1
723d,2ba2,5d78,6458
a09a,1f85,0ef9,0de4
9a3f,a5fc,e6c9,e6c9
d6a4,5b2e,9cab,f5f6
3046,944f,ec41,ec41
442a,4a38,e0e9,e081
55ae,9658,6b59,6b59
3e59,b777,7a11,7a11
05e5,2193,cbf2,cbf2
acdb,38c2,437d,4366
a238,c963,4f67,4f6f
dc80,d949,d86b,79ee
055e,5bd3,f5b7,f5b7
4407,032f,68b9,68b9
da74,82bf,cc46,cc46
abb8,adb2,54e2,54e2
01ea,6227,bc53,bc53
5b02,2abe,c80a,4378
8c39,0578,a2cb,a2cb
b069,e669,eb2d,eabc
ea0b,8669,1607,34de
ebac,b2d5,80d3,628d
6f8e,3b30,569e,6ee4
152d,38dd,bd27,bd26
e89e,e013,3281,7c00
f105,6d7f,744d,fc00
b999,67e0,c7d6,e58b
6d58,e465,8424,fc00
b4db,71e2,1279,eb24
48c6,073a,d9c1,d9c1
5d3f,b710,5bda,5670
107e,76af,3741,4bbc
5ff3,a80b,d1f3,d3f5
66cf,329f,f511,f4fa
903d,200f,c6f3,c6f3
9f84,bb17,98f4,1c2f
23b0,f64a,0abf,de0b
362d,b129,93f6,ac0c
b057,204d,c0eb,c0ec
4e63,5a80,4259,6d31
2c19,5743,c859,bd08
7c83,0d5f,f48f,7e00
fa64,bccf,06a7,7baf
8453,7450,beb0,c1ac
fad3,5a5f,f87f,fc00
856f,cfa9,7d0a,7e00
223d,815c,87b6,87b6
041a,4a54,11e6,1632
781c,7479,45e4,7c00
8d1f,f0a8,d8e8,d8d0
317c,db8b,5932,57ce
c917,6719,66b4,f419
be14,3a1e,1606,bca4
5aec,a660,b590,c5dd
01ba,5927,5791,5791
ac34,9f78,3340,3344
4253,02d4,90ee,90ee
8a6c,67a9,1d7d,b610
4d25,1977,e79f,e79f
3cff,5215,64fb,6538
e9bc,c6d8,b59f,74e8
ef1e,f662,5639,7c00
9e4c,bb4f,fde4,7e00
e7e8,5537,7d76,7e00
7b52,2eee,d728,6e3a
22f8,388e,ff2d,7e00
ea72,fa78,56f0,7c00
afe0,6f3a,d4c0,e3b5
77b2,938c,ca97,d147
72f5,d956,f865,fc00
925c,528f,56b0,56af
0b1f,c26b,68e4,68e4
a10f,262a,b966,b966
756d,7657,5334,7c00
ff67,96fd,9e14,7e00
45a0,39ba,543b,547b
3e9a,4674,fb9c,fb9c
c020,5963,c8f7,ddb6
f665,26b1,019f,e159
512d,a49b,e4b2,e4b3
10f0,22e5,8d19,8d19
38af,dd39,98ae,da1d
aa3e,c92e,1e45,3818
7712,f14e,7cd0,7e00
4a61,ed40,8192,fc00
77c2,4b50,a877,7c00
c5e6,bfad,e7cd,e7c2
2fca,22cf,8835,161a
af5d,e0e6,e2da,e24a
d9d1,3577,f456,f45a
50b0,da1a,4837,ef24
45ab,87eb,5eca,5eca
ad4c,5e2b,2416,d014
f9d9,1129,f9bf,f9c0
1fa1,1ee2,03f5,0000
47aa,1f65,4ed3,4ed7
6a57,d0df,4d19,fc00
9001,1e0c,0182,0000
3466,2be3,b58b,b546
4f9a,dcf7,eb0d,f27b
7cc9,65e8,4d75,7e00
92a5,99cb,dc75,dc75
d427,f34a,c031,7c00
16c1,f55e,5ebd,5e2c
1809,a76c,c905,c905
8d36,27a9,563c,563c
7495,5dae,6792,7c00
d549,4a2e,38da,e414
bedb,66f5,3b89,e9f6
e32c,d83b,5af2,7c00
7d10,324e,262a,7e00
050b,93d3,287f,287f
243f,8d7d,bacf,bacf
f72e,0cd3,06b1,c854
7c9a,2115,26da,7e00
678c,22ba,80c4,4e58
fe50,8ce1,ae95,7e00
66dd,25c2,2ec6,50f4
45f0,950e,0446,9f70
c082,749c,1985,f932
b7b0,d05a,b1c0,4c22
42f0,42b5,60a1,60b8
5eb9,fc07,c46e,7e00
2658,9e8e,6825,6825
5b0a,2c48,f91a,f91a
68cc,4e4b,7c0a,7e00
17f6,cb39,51a2,51a1
862b,a6b8,e956,e956
af94,6a7c,0b9b,de24
bb06,76cc,db5e,f607
cca2,af50,27f2,404c
2657,35f3,91d5,205a
cfc9,8ccf,8e64,207b
2385,3e0b,f300,f300
eaf1,ba0f,25f8,6942
6b72,9561,febe,7e00
9664,a6b9,b1da,b1da
8f84,81f5,ca52,ca52
688a,e474,37a4,fc00
5ebe,88ea,2fca,2b4c
bb07,5134,c78f,d184
d9de,a10a,9f40,3f5d
c92e,9650,9f6f,2074
9c30,3898,a036,a16a
756e,c172,cc6a,fb65
b299,c2a1,f081,f081
630f,e81e,bf15,fc00
0055,8b1f,10c5,10c5
2681,8346,038a,0000
dd89,3e0f,a032,e031
d280,fd22,f265,7e00
30a6,de49,04ba,d34e
8ae2,c34c,1ae9,1c3d
cf4d,3c4b,dc2b,dca8
1df7,f682,257c,d8da
a025,906d,25ca,25ca
7c61,5d98,05d6,7e00
5347,f13f,2d6a,fc00
16eb,ff9a,7731,7e00
20f9,5403,75bd,75bd
49d7,f43b,653e,fc00
780c,6bfc,1be8,7c00
ef9e,ddfd,833f,7c00
518d,f653,f975,fc00
3de4,4955,3dcb,4c4a
9742,52df,7784,7784
a15f,7b4b,fedb,7e00
e5da,9256,bfc3,ba42
5044,7d65,232c,7e00
7008,4b08,7f5c,7e00
8638,0250,5a52,5a52
6f41,bfdf,5835,f312
478e,a4e8,5981,5980
b74d,58ef,975f,d481
5766,6130,1859,7c00
c9ed,6a8b,d4e9,f8db
18d9,7f23,4bcb,7e00
17f0,f060,ab59,cc5b
c956,8f8c,fa79,fa79
daa4,5827,78db,71a2
7f21,3935,8768,7e00
15d2,c275,98ed,9f2a
10d8,29e2,3fff,3fff
9ad4,1fc5,d070,d070
fb0f,1717,f479,f47f
6fb2,e88f,765d,fc00
fafe,8c9b,a2c9,4c05
e077,d490,87d3,7918
b3af,be63,6f97,6f97
77cf,9013,0d73,cbf4
3c36,9219,001c,926b
2277,5fef,1e15,466b
b193,1ddf,921c,9725
c07c,606f,d3d6,e537
8b38,0261,26cb,26cb
4b52,487f,48ff,586d
d190,b266,31fe,488b
b255,ad09,8377,23f8
c451,19c4,a600,a88e
8ad9,2f58,c471,c471
86cc,a4e6,4d26,4d26
70ad,768b,c97f,7c00
0d93,2d85,ab91,ab91
6a81,6648,217c,7c00
5120,9db5,a080,b398
6bca,8cfa,a915,bd01
6a43,8314,df1c,df1c
9713,4c44,2432,a2b2
141a,4dea,81f5,2610
a660,7391,2e15,de08
166b,2928,9b24,9b03
ed6d,7891,cb14,fc00
3305,ef9b,c201,e6af
c1ce,776d,da8a,fc00
b10a,3d19,6eda,6eda
592a,4556,f7b7,f780
cc87,583e,f875,f8c2
f62d,97ba,27d3,51f8
25e1,5b19,f3c0,f3bf
e1ec,f53e,8d57,7c00
3fb4,9528,3a5c,3a57
fc0a,e687,821d,7e00
bd4e,1d51,1c98,98ea
f6bf,a9ee,82bb,6500
218a,4e73,57af,57b3
c2b2,9fed,4f48,4f4a
ef71,ee1f,5f8b,7c00
40f5,4c6e,c929,5033
e996,8857,9ed2,35f4
79c9,75fe,f251,7c00
718e,675d,a0ae,7c00
1e71,fae1,77a9,7793
b626,bd7f,d10c,d0fb
06a9,f273,d096,d0c1
272c,1315,8cbb,8cbb
2e1a,3433,4ac4,4ac7
978a,d9a7,8e85,3552
7842,d29f,7c49,7e00
07a7,b176,dc13,dc13
2111,4be1,cb51,cb3d
4501,400c,6437,6441
66ad,22fb,6174,61a3
2fbd,bbcc,bb2e,bc10
7dba,21d9,893f,7e00
078b,618b,818b,2d3a
fdf6,426b,3d96,7e00
7811,c197,422e,fc00
d3da,f645,2227,7c00
56ac,4a42,7272,7319
f1bd,7f39,4472,7e00
cbde,186d,2078,a678
a75f,6a5b,deb5,e016
6808,d221,9a3b,fc00
fd1a,ff9a,adbb,7e00
8cf9,fe18,1a69,7e00
7052,4ff9,71cd,7c00
f2f9,2327,6d52,6d20
024b,bdde,b723,b723
3098,1db9,ea3c,ea3c
50b3,467d,eb05,ea8b
940d,3606,c3dc,c3dc
7ad9,02a1,b7e6,b7e6
e023,d676,7c32,7e00
484a,afcb,e8d0,e8d1
e26a,eae8,e5d6,7c00
ea9e,3c7d,3951,eb6d
0fb4,e6f3,14bc,baaf
d499,0556,23b1,20a0
5a07,ce96,bbca,ecf6
d4de,4b92,5215,e46a
8ca8,ec50,e1b0,e1ad
24b8,605a,151e,4922
4d10,fe10,646b,7e00
8561,ed62,290a,37de
14d3,e83b,f203,f203
4439,dd82,2d47,e5d0
2cf3,fbf8,11f8,ecee
65fe,8f63,b223,bb11
b52a,7852,91fd,f194
1713,6404,65d9,65db
ccf1,5d55,49b6,ee93
2819,3eb1,ddff,ddff
0e49,1e57,0833,0833
b8e3,4bdf,ca3c,cd86
5c76,2258,e6e9,e6e5
140e,b366,4ab4,4ab4
25a1,30eb,7a8f,7a8f
f12e,f83f,5beb,7c00
137d,eac9,c1f1,c626
237e,70c5,44ed,589e
c7e4,066b,80f9,9255
bc6e,cebc,43a8,5035
5dd4,b42c,a581,d614
bc30,3e65,e092,e095
fdf5,91e8,3ba5,7e00
be56,046a,446c,446c
6190,8685,cab5,cabe
632f,01ab,083a,083a
11f0,d321,598e,598e
a35a,e615,72a2,72a5
c0d2,9d01,f2ab,f2ab
0413,a0ac,98bd,98bd
32bc,a260,5e50,5e50
4ee7,71b7,c068,7c00
b237,f581,0e0b,6c47
7271,e451,f396,fc00
a692,8c35,f1ff,f1ff
7144,c814,03ed,fc00
cabb,ff93,b2cf,7e00
7c85,353a,bb6a,7e00
2459,f5df,0be2,de62
4116,9664,7a35,7a35
2070,667f,c678,47f2
1811,2d29,46d4,46d4
9079,a8af,688c,688c
6d1b,750d,55e8,7c00
0add,e7a4,f277,f277
82e2,f52e,4534,4534
f2e8,54a8,be27,fc00
1415,dea2,80e5,b6c5
424c,fc08,a14f,7e00
964c,7491,ed34,ed3b
1a48,7c87,c192,7e00
b9f1,2fcf,4d4a,4d44
892a,b87f,b85b,b85b
949f,2912,1506,1506
6897,dd16,2c86,fc00
6467,2ca7,7564,7569
014e,ab96,5a4e,5a4e
9ff8,3cc7,0ec8,a08c
ae64,c3da,8af3,3645
8b15,5995,1993,a898
a094,9e0d,8dd4,8dd4
2a15,00a0,604d,604d
4d8c,7a71,42fa,7c00
bed5,f8d9,e0d4,7c00
d48e,98ca,837c,3174
050b,f805,901f,c111
db17,04f6,3c90,3c7e
6fe6,2cfc,0861,60ec
0857,fe98,c5bb,7e00
807b,bd3e,29d5,29d5
4916,6655,97d3,7407
56ac,a44b,a950,bf54
ebb4,2a7c,361a,da3b
d5c0,8de7,4b2c,4b30
6bb7,3400,4a24,63d0
65cd,74f3,8c75,7c00
9faa,ebd9,e7c2,e7a4
252e,6f15,f166,f154
550f,f9c7,a30a,fc00
5298,d910,bfb1,f02c
3758,0253,770e,770e
be06,bf95,dd9f,dd94
bf58,8e0e,4877,4877
1d09,6a84,ef50,ef4c
6285,8082,661e,661e
1f2a,5547,aca0,3826
4d7b,bf16,cd2a,d370
750b,1f09,49a0,58c9
ef0c,24f2,57af,cc1c
3f74,f585,7b17,73cc
8b1a,9fdb,cdbe,cdbe
c362,2917,4f36,4f2d
0409,d493,f195,f195
e4ac,9433,2912,3d11
df91,2d71,e8cf,e8e4
9049,122f,4045,4045
3eed,2eae,e78c,e78c
8207,17d7,fc53,7e00
6f58,ea04,d2c3,fc00
96d9,f022,6a0e,6a15
fda2,3272,4775,7e00
6c4a,e0a0,25a7,fc00
6b43,cbbb,ff94,7e00
5d42,0374,50df,50df
7922,4080,5a78,7c00
5e11,1dfa,9b05,4086
ef12,8c9e,232f,401c
d43b,2c37,46b0,4076
9987,7845,b366,d5ea
27d6,72c3,be6c,5e9a
588b,4e8e,f0b2,edab
7fc3,4d89,aa1d,7e00
1066,64ad,e1cb,e1ca
a729,5ca6,cb07,cd98
f8ba,69bc,fb45,fc00
b37d,9e50,2ed6,2eee
ad31,bf86,1b60,3100
fdb4,0086,815f,7e00
3cf3,195c,159d,1cb8
ac77,244c,3635,3630
c125,2cee,b6fa,b913
d751,e01d,5dd4,7b92
14e5,471d,2511,273e
a33d,7661,b91c,ddc9
9630,bdac,83b2,1863
a893,f19e,202e,5e6c
e763,ac52,e50c,e48c
e0cc,f52c,8845,7c00
2d38,85d6,379b,379b
1300,f6ee,4176,cd61
9d36,32f1,c385,c386
43be,67e6,bb69,6fa5
5337,6aea,bbb7,7c00
0fe7,9a60,80af,0000
0794,d94c,d5d0,d5d0
dcde,a04f,85af,413e
67e7,eabf,472c,fc00
c9ac,5990,b8c7,e7e4
1f29,b5d8,89bf,9997
a1de,8c76,6edb,6edb
10b3,fd27,693f,7e00
1165,ea87,606f,606b
dbeb,0572,19b2,a4ae
fd41,5248,4d31,7e00
6413,7843,9962,7c00
bb3b,8935,61bf,61bf
7b2a,de9f,61f9,fc00
a088,2a76,1e7e,1e09
931d,4730,7900,7900
0430,f7df,67a4,67a2
003d,9311,0665,0665
a7d5,1236,9f52,9f52
ea79,a58f,2fe9,5481
5274,cfd4,8fb0,e651
027d,0dbf,32b8,32b8
e3a6,a443,4a8e,4f5a
4d0b,bc4f,2c3f,cd6b
8bdc,03d8,c8f2,c8f2
3acc,4993,5421,54b8
7492,1b76,e8fd,e8db
e84a,dcdc,c05b,7c00
0992,a0d1,08b0,08b0
071c,f913,151b,c482
b887,e367,c5a7,6025
d0ad,efb7,2d62,7c00
de44,1ea8,42d8,3a84
1dd3,78c6,481b,5b35
9d18,29b7,1739,1650
00db,1b75,b3e5,b3e5
444c,48dd,5066,54d0
b247,b542,f74f,f74f
d1cf,f773,c5d6,7c00
8d89,ad05,b552,b552
9c25,11d9,6191,6191
1e5a,3c93,b3ed,b3b3
9d85,9250,d81d,d81d
4872,dc7a,c60f,e8fd
2c98,19b2,650f,650f
1c45,7fa4,d4bf,7e00
67c6,7dbb,78e8,7e00
c3df,9bb6,c6b3,c6af
fcb7,2110,ee1a,7e00
8a02,775b,7af6,7af6
1561,2d9c,03f7,078b
0d03,d91a,2753,a575
284b,2962,73fd,73fd
b749,5c0d,5c37,58be
4815,b9e8,4e17,4c95
6ed9,360a,27d3,692b
6647,5b9c,86c8,7c00
1025,6dc5,3bdb,43f1
5859,7f08,f62c,7e00
ff99,c258,527f,7e00
7cfd,c5b3,9b85,7e00
ee14,1a3b,333a,ccae
af94,90ee,b6e8,b6e8
e45a,cbf7,3a0a,7455
ce93,bb90,ce61,b940
4832,9ebf,6336,6336
39d5,768f,92d4,74c8
24cc,e361,1f35,cc6d
e16a,6ab5,51f9,fc00
6eb7,59f7,77ec,7c00
0b06,6c7e,0ddf,3be4
be0c,225f,4578,4573
7a52,ded7,6d2b,fc00
8227,60c4,4e1b,4e1b
8c50,0b27,585d,585d
debd,833a,8131,0000
f00a,746c,a68e,fc00
0f63,f3bb,0189,c723
1893,599d,e8a2,e8a2
a562,c2df,9a3a,2c6e
fc32,76b9,05fe,7e00
b30b,982d,1786,18ae
d63f,9e11,3c9b,3efa
316c,718a,9a61,6782
f7a2,164b,a74b,d202
040e,b7b5,b3a7,b3a7
1412,86a7,39b4,39b4
0289,96c7,a395,a395
2e14,4693,1ec4,390d
ffe9,9800,1478,7e00
ac78,349a,ad23,ae6c
e06a,2a20,4c59,c8d2
a8be,ec76,b08d,5949
39d5,9f6b,1a9f,9831
9c0a,d65c,db75,db72
41e5,8d5c,67c9,67c9
0f7d,1b72,9873,9873
3240,34b0,c2e6,c2c9
b453,025d,2ba1,2ba1
2e3c,9cb7,f25e,f25e
01a6,7269,47b1,47b1
a1eb,65ea,b276,cc6d
371d,806f,7ce6,7e00
768d,8022,f298,f298
3934,1537,341c,341f
57a7,0d40,72b4,72b4
0174,6762,9fbf,9fbf
f914,7850,78fb,fc00
ce0d,4a09,6149,5e01
c300,640b,cbce,eb1b
c18e,37a9,a960,bd7d
0b45,44ed,301d,3026
2475,461b,4869,4877
8d1e,5910,88e0,aa7f
87d4,a731,65b2,65b2
3c56,66c2,69b0,6cad
8d5b,7a9b,0ad0,cc6c
e564,480d,95cf,f176
7258,0f02,84c4,458f
f0c5,1f5e,89f6,d464
8943,9a76,b7c2,b7c2
293b,f943,2ae6,e6e1
3062,def7,ea7a,ea99
e5ab,ca49,2db6,7474
bac4,b24d,7721,7721
be76,9c01,59fd,59fd
804e,7d21,0483,7e00
5669,dd8b,748c,f456
a248,0c83,8a1e,8a1e
3dab,4137,3f05,4573
5dc6,a03d,ded1,dedd
f4f1,8065,66f2,66f2
d6dd,6c15,cf4d,fc00
5d63,cdf3,010b,f001
19af,4d2d,69c7,69c7
a598,787a,a829,e243
eefd,527d,cd4a,fc00
b936,0618,694f,694f
7250,7fb5,bd69,7e00
dddb,94c3,646f,646f
27fd,ace1,8399,98df
feef,1071,f505,7e00
ca33,a654,afbf,31ee
5839,81b8,3ec7,3ec7
b7c3,c4ca,eb21,eb20
3f01,b152,c476,c4c0
a726,d2f6,6742,6744
8fc8,ffde,a2ef,7e00
9366,626d,864b,b9f1
410b,4afb,13f8,5066
f9c8,04a6,c51f,c83e
c6c4,2dc7,c269,c3a2
cf9f,37f2,3115,cb7e
09d7,80b2,105a,105a
ff28,8cb1,6990,7e00
95ac,6aba,69ab,69a9
c49f,2e69,2475,b721
ffe5,e1ec,7b2f,7e00
a81d,8063,ff9b,7e00
eef1,f8d2,1b11,7c00
af6b,2393,d649,d649
fd8a,91bb,92e7,7e00
6f6e,cb21,fea6,7e00
07f3,d2a5,cd90,cd90
5c30,fa56,0676,fc00
dbc6,8c72,0f05,2c59
00e9,a1b7,a717,a717
353b,0747,4479,4479
c1f6,f783,1bf4,7c00
1275,9450,25c1,25c1
3d95,0932,3a32,3a32
d763,618f,cb70,fc00
ebd4,1927,a387,c90d
fd46,7fbf,0b46,7e00
7603,df98,203a,fc00
7e45,52ff,d751,7e00
c4ea,2ece,0d54,b82d
ec8f,477e,1636,f845
f4eb,d217,4e7d,7c00
f90a,a346,dea9,5902
2682,a2e4,ba7e,ba7f
e328,5615,4619,fc00
25fb,0303,9b75,9b75
7d0f,0ebe,ba7d,7e00
42fa,4590,8a12,4cda
8ef3,984e,af06,af06
8e41,5536,8e7a,a820
c4fd,2d67,98ec,b6c7
e7ac,95f7,40d6,4547
2dc7,cb77,e080,e083
9010,70a6,5607,55bb
0838,f454,c531,c77a
8fe9,1536,37f3,37f3
1a19,27de,66b4,66b4
c320,a49d,125d,2c29
f1a3,7814,f628,fc00
71a4,2694,8d9c,5ca3
ac07,34b3,56a6,56a6
af44,ab0d,2054,2388
cea5,f077,3a7f,7c00
9b8e,bf9d,c946,c945
f11a,dfc7,a922,7c00
53a8,2bb4,a83c,434e
f87c,fae6,ce7c,7c00
f3de,7afd,c02c,fc00
fd9d,645a,8280,7e00
9ba0,e5cd,8f7a,4587
f186,2d6a,84bd,e37a
3195,b332,4b44,4b3f
ed54,bc36,d071,6d93
e61e,cd35,2e1a,77f7
9fab,214e,a256,a260
2e3b,1934,9590,948d
5add,5f23,cb41,7c00
4b01,0160,c874,c874
ae70,6513,6409,630d
53c4,0239,39d0,39d0
652e,84be,32f2,2fc0
86a6,b03d,1cd1,1cd1
0c3b,5ff4,2148,308a
de49,7bff,b71f,fc00
85be,a1ff,9226,9226
3491,de17,9601,d6f4
068f,6dce,b9b2,af80
7753,ba35,0eb7,f5af
8b67,15ee,7e3d,7e00
31e7,4146,9551,37c3
2bd8,af4c,a2bb,a528
ecca,d864,73c7,7c00
bd5a,2813,e577,e577
a03f,dc7e,a061,40c1
9943,a0ce,51cc,51cc
2fb0,1e55,7119,7119
12f1,45b3,063c,1d0b
6efe,b3fb,7e08,7e00
2c04,7c9d,4503,7e00
169e,c30d,5f18,5f18
1270,c51b,d98e,d98e
4a6f,49c2,f1de,f1cb
f54c,cf08,0a41,7c00
7216,152f,80a0,4be3
419b,653e,9187,6b59
a1a3,ec7a,8181,524f
1717,6595,e94e,e94d
7817,74fd,5dc4,7c00
af5a,bfe0,93b4,3335
4454,4ad0,a0b9,535f
4022,80f6,39b6,39b6
df99,192d,b098,bd7d
b8d4,62f7,b68a,e035
ab17,724d,e597,e831
6948,c781,9005,f4f4
8718,c750,ca02,ca02
e084,999f,152f,3e59
2e36,42dc,21a3,3580
2f23,437c,6876,6876
6e7c,f398,53b7,fc00
cd9b,037b,6fa2,6fa2
e1f3,748c,c54e,fc00
6970,4d3b,751a,7c00
484a,4f05,c037,5b76
d09a,42a9,1fdd,d7a9
0ee0,3825,79b6,79b6
4412,03f4,9b6c,9b6c
74d5,2f66,408c,6879
1643,e705,739c,739c
ae5d,4ed8,f5bc,f5bc
180e,108b,0a14,0a14
5f51,f318,cb25,fc00
28fa,e544,5ecb,5df9
9430,401c,2bbd,2b78
3aa9,bd15,98fa,bc3d
05e7,3e5e,ff2f,7e00
de1b,b4ee,8896,5786
5234,ebf4,03ed,fc00
fb71,bd7e,a97e,7c00
fb0f,c7bb,4e27,7c00
b076,c360,f226,f226
c043,a705,652e,652e
f48a,3709,811e,effc
6746,c18d,2a75,ed0c
ecba,2985,99e4,da86
7339,0673,476e,4871
6e11,f820,c39d,fc00
d653,89db,436a,4373
2400,72b8,2d50,5ab9
8cba,1f99,48b4,48b4
8091,9e65,0c17,0c17
5511,e8a6,9aee,fc00
3cce,7ba3,4859,7c00
c79f,46d3,2845,d27f
4c5a,3c7e,5c47,5c95
d326,b855,3824,4fdf
d625,d3c6,cfc8,6df0
5ea1,8cef,69e1,69e1
259b,2dbe,adc8,ada8
061d,78e5,bc28,4167
c579,eade,3d07,74b3
64fa,3d07,dc64,6528
dbcd,1408,3cea,3bdd
7b61,c098,6b88,fc00
243f,2f02,15f8,1ab4
cffa,f165,99df,7c00
b21a,b47d,09f2,2adf
ea49,ac41,8a74,5aaf
9b51,083a,6aa7,6aa7
3717,b096,53a8,53a6
78fc,e134,3730,fc00
a4c1,1e3c,0be8,0834
1c3f,b7a1,691a,691a
783f,096e,333b,45fe
a722,3c34,d0c7,d0c8
a579,9aff,a47b,a476
c046,cfb9,288c,5421
65cb,aa72,1a4c,d4ab
3d34,2c10,04b8,2d4a
753b,cf8e,084d,fc00
af76,4192,88a2,b533
9091,6210,b753,bb20
d498,0724,3d96,3d8e
e096,01ca,4a2d,4a2d
e2d3,0886,c656,c675
df3d,8196,b25a,b25a
78d4,8894,2939,c57d
1fdf,03b1,0a9b,0a9b
1c64,9c41,d55c,d55c
3971,1a08,7422,7422
e1e5,82e6,a76e,a76e
883c,3243,ef7d,ef7d
01d5,ff16,1185,7e00
c063,c1d3,8ff2,4663
c9c4,178b,893a,a57a
0f40,fea6,af28,7e00
2e02,207d,d429,d429
72aa,3277,64d4,6bcd
5ec1,385f,611c,62f4
14ae,addb,a0e0,a0ee
ab99,10fc,3e8e,3e8e
b12c,73d9,a4c8,e913
c73c,3dd4,a193,c946
d530,a91a,fce9,7e00
12c0,ab08,657b,657b
0fb9,2132,8fa5,8fa5
a653,1d78,0a92,047e
f2ab,6d0a,057d,fc00
634d,acd8,584b,542a
5fac,f286,b482,fc00
b566,48fd,c1cf,c645
0d3d,0500,fa0e,fa0e
c3ab,820a,1780,1780
dd02,d495,e1aa,7590
de85,e215,a46c,7c00
7131,ff1b,0f4d,7e00
5bfe,98ed,92df,b8ee
b979,e61c,0184,642e
d96b,55a2,3a8a,f3a1
7d00,cb6f,c306,7e00
f982,a9d5,001e,6804
e982,2510,0e11,d2f9
504e,24fc,6f76,6f76
2e74,71e5,6562,6912
874f,6068,525d,525b
6062,d6f3,ae90,fb9d
674e,a0a9,1cf1,cc41
731a,afc0,4b1d,e6d3
df9d,b4fb,5844,5c80
44c0,1203,c08a,c088
c8b9,088c,0309,955e
9b6b,5bf4,9ad7,bb67
71d3,cd11,5656,fc00
b268,baa9,c86a,c855
6062,64ab,f33d,7c00
3b5a,334e,a697,31e3
5d1d,59c0,f628,7846
82fc,1c42,35e6,35e6
7e17,2d1f,6fbe,7e00
8a83,dbe1,a000,296a
d014,b987,952d,4da3
808b,2c80,e595,e595
10cd,1dd8,029b,0000
60c7,8c3f,95a7,b11d
c464,52d8,8c36,db83
0956,973b,be6b,be6b
c0e4,7828,32cf,fc00
9c3a,95c3,d5e5,d5e5
2fa3,1b20,796c,796c
49ec,05f0,a8dd,a8ba
942c,5778,d1fe,d202
f04a,5c31,cc2e,fc00
c9cc,b276,86ab,40af
0fc3,9357,cc20,cc20
7be0,c54b,4514,fc00
0be0,44ad,bce0,bcdf
b2c8,bd9e,e43d,e43d
ff79,12dd,950f,7e00
fb0b,4035,e36f,fc00
d988,0d22,d6b4,d6b5
cbaa,d545,41d8,650f
c137,bdbf,489b,4a7a
82d6,6b1c,dd55,dd55
f979,b9b9,bc97,77d4
3e93,b29a,d2e6,d2f1
76e0,e592,4959,fc00
e525,563b,cf82,fc00
5b96,486c,733a,7423
7eda,145a,e049,7e00
a517,21b7,fbf0,fbf0
2eb3,cce4,8228,c018
b4c1,7961,2395,f265
cb70,7471,9bc1,fc00
d81b,e3e8,2ae7,7c00
2069,62d7,bb25,46a6
c167,90d5,2342,2409
f1b9,06e9,30a4,bc5c
8981,a5b8,ecd6,ecd6
e9cc,7e4e,f760,7e00
612c,0834,8c4c,2d6b
09d3,d406,8977,a1f2
ddcc,eda6,d243,7c00
073e,36ad,c0da,c0da
9cdf,b201,bc8e,bc8d
9e04,0102,ee8f,ee8f
fe30,4759,ce85,7e00
b322,e8a5,0fd3,6024
fe55,b23f,69d4,7e00
679f,5f00,467c,7c00
542f,ed16,bd11,fc00
2890,f0e4,aa1e,dd94
2bdc,37b5,1bcc,2846
c13b,0efe,f341,f341
2048,d7df,0855,bc36
8969,0c11,777a,777a
0d11,7c52,0d6c,7e00
5065,9cbe,fd1e,7e00
191c,d357,f860,f860
c371,16d2,80fe,9e58
464f,44b2,061f,4f68
6b14,3f9d,d106,6eb2
7b25,828b,66ba,66ba
895b,5c0d,bd46,bd71
a210,fe96,6e4c,7e00
fc13,09f9,40fa,7e00
7e84,d085,cb8c,7e00
7be9,9682,18b4,d66f
df9e,3c82,8d87,e04b
e446,3c31,486d,e471
7646,9c4a,2bd7,d6b9
5bba,2814,7593,7593
b65c,fee9,8749,7e00
cdb0,3dcf,bdc9,d04f
7125,5920,2679,7c00
1fc4,ae3a,eb0b,eb0b
c587,ddc5,8556,67f9
2eaf,6269,3ac2,5569
6ff8,a625,cfdc,db1a
8c21,5883,5786,5785
5754,496b,7749,7798
83df,f7d8,b14c,b14c
9bd4,0052,393a,393a
717d,e2fb,e807,fc00
09bc,c870,f267,f267
1d31,477a,0453,28dc
e707,e08f,4f2f,7c00
f8bd,c837,959b,7c00
92c9,c26c,1814,1cc3
2275,9a64,1d2b,1d2b
1b4e,9f45,c628,c628
4922,5437,1876,6169
45d4,3590,1719,400e
093e,cec9,b421,b433
c67e,a9c6,fa9f,fa9f
4f03,1cfc,5a09,5a0a
5be6,da6b,b34e,fa56
45b7,51ef,3c22,5c41
6a20,3818,b0ae,6645
4bee,5a0a,4e21,6a08
94a3,7190,be0b,cb34
48cf,8260,d076,d076
e919,87c9,790c,790c
5ad1,9ad4,766e,766e
ebe9,9356,25ee,434d
24d6,12a3,06c4,06c4
9966,ecac,d94e,d8e9
4dd7,0f0b,a652,a380
cae0,1df9,7d58,7e00
c071,23a5,01cc,a83e
26d7,a3fd,c4e6,c4e6
8642,37f4,c24b,c24b
45e4,6e41,1a93,789b
3827,6421,d695,5eed
148e,a260,1ec1,1ec1
68a2,3c61,1c5a,6912
8a9e,ff4c,34b4,7e00
33dd,5bff,86d9,53dc
a957,1ab8,4440,4440
88f2,7ba5,fea5,7e00
