a,b,sub,expected
df4f,8e21,1,df4f
123f,4ea8,1,cea8
005a,4822,1,c822
8c17,72b1,0,72b1
ec26,ead1,0,ef8e
d753,f691,0,f698
a989,e602,0,e602
0b15,f512,1,7512
eb4c,00f6,1,eb4c
18c8,404f,1,c04e
773e,50cb,0,7740
7179,1ebb,0,7179
6792,9bdd,1,6792
f515,deca,1,f4fa
196a,4657,1,c656
6232,282e,0,6232
5b73,327c,0,5b75
a4f5,ba18,0,ba40
8afd,9ebe,1,1e86
f6f8,ac30,1,f6f8
e4a4,fc23,1,7e23
bacf,87a0,1,bacf
6689,decf,0,64d5
a2d1,cca3,0,cca4
05ec,7beb,1,fbeb
8251,0150,0,0000
ec41,b93c,1,ec41
1ced,c310,0,c30e
2851,6cf4,0,6cf4
dc9c,cd02,1,dc4c
50f9,8092,1,50f9
20f7,4ab8,1,cab7
4e3a,ffce,1,7fce
ce8a,5e8a,1,def3
fa92,f11d,1,f94b
5a1d,c48f,1,5a41
f77e,7f49,0,7f49
2a56,c3eb,0,c3d2
d0f4,2a9e,0,d0f2
5219,9524,1,5219
fcb3,14ab,1,feb3
799d,b52e,1,799d
99a5,5058,1,d058
82c8,ebba,0,ebba
3263,52bf,0,52c5
486a,82f5,1,486a
0a0c,7030,1,f030
4e4f,c27f,0,4d7f
7d96,7980,0,7f96
d9e2,5256,1,db78
eced,eb64,0,f050
8f1a,1ba7,1,9c45
2456,3e09,0,3e1a
5527,0d9f,1,5527
dfe2,e565,1,62d9
78a7,8b9d,1,78a7
01e2,2eff,1,aeff
3b18,1d25,0,3b22
87c2,b8e6,0,b8e6
b762,cf34,1,4f16
53d3,a92d,0,53d2
20bf,2840,1,a620
589b,e644,0,e5b1
e47d,3623,0,e47d
2a33,7a2a,0,7a2a
6eba,3d64,0,6eba
a777,70f4,1,f0f4
2bea,bc49,1,3c88
766a,f361,0,7173
5557,680c,0,6837
0b4e,c3a8,0,c3a8
b1b7,a892,0,b2dc
72d3,a8ae,0,72d3
a35c,eb96,1,6b96
aa45,8970,0,aa4a
3720,eb45,1,6b45
6289,08dd,0,6289
1282,d636,0,d636
d1fb,2393,1,d1fb
3216,d5a6,0,d5a3
0d0b,f990,1,7990
49fb,7454,0,7455
29b5,0039,0,29b5
3b75,3210,1,39f1
1a18,d792,0,d792
3225,6693,0,6693
891a,9e21,1,1df8
126b,19cf,0,1b6a
e69d,814e,0,e69d
001a,3162,1,b162
13cb,a6b5,1,26f3
65b6,208c,1,65b6
5796,cd08,0,5654
11dd,e853,0,e853
e066,dec9,1,d806
61b1,7129,1,f0ce
43bb,b6e3,1,444c
d225,7104,0,70fe
fb47,bef7,0,fb47
9d26,e7ee,1,67ee
9de6,b860,1,3854
89dc,bf26,1,3f26
62e2,6db9,1,ecdd
7067,123a,1,7067
d3c3,9d29,1,d3c3
b6bc,5547,1,d54e
1a71,7fb1,0,7fb1
a1a5,09f0,0,a18d
c60d,e411,1,640b
14e3,a846,0,a81f
4331,6b22,1,eb20
994d,ce34,1,4e34
7887,dc69,0,787e
bb4b,e02c,1,602a
f261,5b18,1,f27d
184e,f4d3,1,74d3
0bd2,ce36,0,ce36
7ffd,57d1,1,7ffd
818c,b00c,0,b00c
6856,2e83,1,6856
af41,07ba,1,af43
5feb,8a45,0,5feb
d2e2,338b,1,d2ea
6f26,0589,1,6f26
8035,65b9,0,65b9
9f48,e94c,0,e94c
b448,d365,1,535c
95b9,d2b9,0,d2b9
ed1f,3574,0,ed1f
cd8f,b1b9,1,cd84
bf65,f5ec,0,f5ec
bdbf,c0c1,0,c3a0
03d8,f161,0,f161
4098,e51e,0,e51c
e5ad,cc26,1,e59c
893f,f8b5,0,f8b5
083f,2ade,0,2ae2
9f28,6041,1,e041
1aaa,981e,0,1518
ba37,98e9,0,ba3c
e7ab,38b1,0,e7aa
5d7c,8c4a,1,5d7c
e87e,30a5,1,e87e
4532,13b4,0,4532
ee3b,4660,1,ee3d
960b,5670,0,5670
9349,5a15,1,da15
c2e9,076e,1,c2e9
acb8,e68b,0,e68b
1854,4dae,0,4dae
bd7b,cdc8,1,4d70
a6d2,7b26,1,fb26
a46f,f39a,1,739a
bd91,8d61,0,bd91
3ed2,1bf2,1,3ece
0f01,3933,0,3934
0366,d6bf,1,56bf
c3c9,bbfa,0,c4e4
f543,109c,0,f543
351e,018a,0,351e
f01a,5190,0,f014
6b68,8ba7,0,6b68
6530,7488,0,74db
a6ce,177c,0,a656
ccd4,fd7c,0,ff7c
dbca,5cfa,0,5454
7bfa,643c,1,7bd8
9b27,7caa,1,feaa
b42b,8bc4,0,b42c
5c8a,f5d2,1,75e4
7341,fbcf,0,f9ff
4574,8d2e,0,4574
21a5,c373,0,c36d
fb3b,c833,1,fb3b
a555,73fa,0,73fa
bbfb,66d1,1,e6d2
7e83,9cc9,0,7e83
a5d5,b3d5,1,331a
f5ec,5701,1,f5f3
a869,ad3f,0,af74
eb3b,e1e3,0,ec5a
6b28,f5fa,0,f515
7e4c,f3ea,0,7e4c
c4ca,4778,0,415c
47c0,d174,1,526c
0976,e039,0,e039
1878,08ff,0,18c8
5648,2d98,1,5647
93df,886d,0,947d
4f7c,3632,0,4f95
604d,c15b,1,6052
8712,5b1c,1,db1c
6b86,d7d2,1,6bc5
8dc2,d574,1,5574
0a25,8cf7,1,1005
80c8,6e79,0,6e79
51c9,5947,0,5ab9
feb7,b323,1,feb7
9f95,7a10,1,fa10
92a6,a62d,0,a662
24ac,fa59,1,7a59
abc6,f75a,1,775a
0afc,0bdd,0,0f6c
a97e,dd12,1,5d12
a7f8,aa10,0,ad06
2964,3529,1,b47c
e998,9326,1,e998
3bb3,e9f7,0,e9f7
a1d8,52c0,0,52c0
5172,eade,0,eac8
6e99,d476,1,6eab
9fea,bec4,0,becc
444f,309f,0,4474
2f69,be83,0,be0c
b1eb,13cf,0,b1e3
9cd4,6487,1,e487
ba6c,9abc,0,ba73
414a,f4da,0,f4da
dc79,36f5,1,dc7b
3271,86bf,1,3272
36fa,b5ef,0,2c2c
aa9c,e8ed,1,68ed
99ea,24f5,1,a5b2
2266,ad88,0,acbb
568a,b068,1,568c
0e53,ab7e,0,ab71
cc0d,1c1d,1,cc0d
887e,4061,1,c061
a600,864d,0,a606
a76b,f904,0,f904
c9c4,2ee8,0,c9b6
f76b,f8ac,0,fc00
4b4b,9de4,1,4b4c
5c94,5f98,0,6216
620b,3e71,1,6208
d813,d597,1,d11e
5f26,5365,1,5e39
1c02,2589,0,268a
bd9a,7e8c,0,7e8c
098f,6ef6,0,6ef6
6162,cbbd,1,6181
675f,af00,1,675f
debe,d853,1,dc94
cdc0,345e,1,cdd1
bb8a,889e,1,bb8a
c3c8,bf7f,0,c5c4
8e5f,2916,0,2909
7d15,b7fa,0,7f15
1732,55d1,0,55d1
d351,bc4a,1,d32f
e56c,74f4,0,749d
6437,1c7e,0,6437
e415,ec9c,0,eda1
feda,21b0,1,feda
1dad,f5f5,1,75f5
b6e4,98a2,1,b6db
3e37,a79a,0,3e19
6f21,911a,1,6f21
d93c,3ac6,0,d935
3280,dd19,1,5d1a
f679,d664,0,f67f
0046,922e,0,922e
c1a5,e86b,0,e86c
ef37,61ee,1,eff5
3d09,e0ee,0,e0eb
30d7,c1a1,0,c154
a2e4,cf66,1,4f65
c094,a7f8,0,c0a4
862a,867a,1,0000
27ea,095b,1,27df
dab8,eb30,0,eb9c
d502,6bf1,0,6bc9
1c1c,eca2,1,6ca2
b610,ca95,0,cac6
f330,93e0,0,f330
812a,59ea,1,d9ea
8da5,4008,1,c008
e334,aadc,0,e334
3df3,5007,1,cfaf
02a0,b951,1,3951
176e,867d,1,17d6
2b84,d323,0,d321
f2b9,0cb5,0,f2b9
b236,795b,0,795b
7954,732a,0,7b1e
ec59,c629,1,ec57
97ad,a570,1,24f5
2e80,cc78,1,4c7e
be60,54ed,1,d506
4ba1,6a17,0,6a1f
8a7b,3159,0,3157
6ca9,74e6,0,7610
38a3,09b5,0,38a3
2cbe,dd29,0,dd29
0ba3,716e,0,716e
4dec,d6d7,1,5829
fc0c,6901,1,fe0c
b78d,1d98,1,b7a3
7e9a,622c,1,7e9a
c175,ff2d,0,ff2d
4abc,4232,0,4c24
246a,a595,0,9cac
eadd,d5c9,1,eaaf
6598,8d87,1,6598
41cc,7a1c,0,7a1c
0747,43c0,0,43c0
a817,7064,1,f064
efd4,c940,1,efd1
d01f,3454,1,d028
e7ad,a3f5,1,e7ad
cf0b,82dd,1,cf0b
067f,386c,1,b86c
3e30,d914,1,5920
54f2,250a,1,54f2
15c3,10e0,0,181a
d069,57ba,1,d8f7
fcd0,4ed3,0,fed0
7574,458a,1,7574
fecc,a05f,0,fecc
9a83,a99a,1,2932
d2ba,8cc1,1,d2ba
adda,c09f,0,c0ce
b810,debc,1,5eba
c9ac,b852,0,c9f1
78fc,f8a7,1,7c00
7c4a,bfa8,0,7e4a
d0e8,eb6e,1,6b5a
0996,3f4a,1,bf4a
6d20,68f5,1,694b
d0e3,b9fd,1,d0cb
8a42,bd29,1,3d29
5c6a,9397,0,5c6a
41aa,cf0d,0,ce58
3f36,027c,1,3f36
ae84,350d,1,b6ae
2a58,15da,1,2a29
d759,b2ae,0,d75c
61de,b347,1,61de
426e,fce2,1,7ee2
6eeb,0cdf,1,6eeb
6204,e69f,0,e33a
bcec,bd01,0,c0f6
7283,80ba,1,7283
83ba,57bb,1,d7bb
c3a9,56ba,0,567d
d287,79f6,0,79f4
838f,eb33,0,eb33
0784,0f5e,1,8d7d
50b9,bd02,1,50e1
9a4f,7880,1,f880
b0b3,9001,1,b0af
a4bb,51d8,0,51d7
67c4,73d8,0,7468
1c4c,45b5,1,c5b4
c175,ade3,0,c1a4
95c7,0033,0,95c7
8ebd,ed2d,1,6d2d
e499,2919,0,e499
5b5c,e05d,0,dd0c
29d5,9861,1,2a1b
634e,6fea,1,ef00
db75,01e0,1,db75
3760,694f,1,e94f
c6cd,bfb1,1,c4e1
8faa,b802,1,3801
9bc2,8678,0,9bf6
6029,dfba,1,6403
e2ca,62b4,0,c980
8a48,70d6,1,f0d6
e24f,d3db,1,e1d1
00f2,cd2a,0,cd2a
5a65,4355,1,5a48
a822,3774,0,36f0
ca2b,5795,0,56d0
7223,fb66,0,f9dd
a178,f6e2,1,76e2
e347,1fbf,1,e347
0f31,4bb2,1,cbb2
0db1,9dbf,1,1e1a
52c6,20c4,0,52c6
d3ec,4e91,1,d59a
3a05,9785,0,3a01
3d98,bf87,0,b7bc
2f52,39a4,1,b8ba
801f,1b4a,0,1b4a
57e2,e290,1,638c
238d,a7d5,1,29ce
ff79,d7d8,0,ff79
f2fa,3a9d,1,f2fa
8501,6215,0,6215
3e40,2059,0,3e49
3ee1,edb2,0,edb2
c005,12b2,1,c005
d011,6420,0,63ff
036b,ac17,0,ac17
03bf,89d4,0,89d4
86a0,5d46,0,5d46
493c,868b,0,493c
7977,9404,0,7977
78eb,a9f8,1,78eb
da65,91b8,1,da65
94dc,2ea2,1,aeb5
85ee,8634,0,8a11
a331,8c54,1,a30e
78c6,b112,1,78c6
9f2d,4d8d,1,cd8d
5e64,98cf,1,5e64
36e0,aa20,1,37a4
3f36,366b,1,3d9b
c451,1440,0,c451
9fcd,7373,1,f373
56ee,154a,1,56ee
5bd8,b8fd,0,5bd3
0e7c,7cae,1,feae
65ad,bc3d,0,65ac
9c32,d5ae,0,d5ae
205e,0414,1,2056
cf68,0c61,1,cf68
817a,1912,1,9912
a391,e45b,1,645b
7ab2,97c8,1,7ab2
a057,35b3,0,3590
429a,e328,1,632f
6d9c,c120,0,6d9b
cc1f,02c7,1,cc1f
6ff3,c5b5,1,6ff4
f223,c7c5,1,f222
8833,fadb,0,fadb
5f44,c462,0,5f32
ae6b,e0d4,1,60d4
135f,31bd,1,b1b6
f87e,6683,0,f84a
55aa,3304,0,55ae
01f6,1b0e,1,9b0e
4d3a,da97,1,5b3e
6642,6174,0,687e
cf9f,5ea9,0,5e2f
b929,eff5,0,eff5
c3d0,37f2,1,c467
d05f,b733,1,d051
0a7e,8e8b,1,10e5
ae86,e921,1,6921
8baf,f99e,1,799e
27a5,0620,1,279f
375a,f168,0,f168
ad2c,b3d9,0,b538
0eac,d00d,1,500d
db9b,9b3f,1,db9b
d6d8,2537,0,d6d8
6e77,ba2d,0,6e77
97e0,a420,1,2344
caff,8560,0,caff
fa6d,d213,1,fa6b
538b,c656,0,52c0
7c06,5294,1,7e06
bdf4,40e8,0,3bb8
d606,848f,0,d606
1fa0,4492,0,4494
d2fe,6a4d,0,6a31
2f63,524a,1,d246
543d,d1cf,1,5724
3914,0479,0,3914
6c37,4f22,1,6c30
6816,acd9,1,6816
af45,d507,1,5505
8271,316c,1,b16c
c7fa,2dfe,0,c7e2
7268,50d2,0,726d
c646,6288,0,627b
dcf8,cf8b,1,dc7f
3419,4d81,1,cd71
054e,47b8,1,c7b8
85d7,06db,0,0000
cd86,a76f,0,cd88
d464,d8a6,0,dad8
3d49,f505,1,7505
d494,57be,0,5254
1928,13b3,1,1676
6a14,b5ce,1,6a14
99fd,fb61,0,fb61
a037,c15f,1,415b
1155,b1c5,1,31ca
a987,4bd3,0,4bcd
60ba,89a0,0,60ba
779e,9a7d,1,779e
d8e0,0ca6,1,d8e0
6162,f603,0,f5d8
c9eb,2807,1,c9ef
a09a,9ca6,1,9c8e
4c56,8ab2,1,4c56
f49c,bcf5,0,f49c
9e7a,f5b8,0,f5b8
ba35,6ce6,0,6ce6
08f9,a504,0,a4fa
709c,894f,1,709c
a9c1,3413,0,32b6
9f6a,5e80,1,de80
d47f,d4de,0,d8ae
8f4e,91c7,1,0c40
3d39,4c14,1,cb81
8d96,5b04,0,5b04
9ecb,87f3,1,9eab
7a36,b000,0,7a36
5688,9410,0,5688
860a,a8d6,0,a8d9
90f9,191f,1,9a5d
f1cc,8ff1,1,f1cc
69ac,ac18,0,69ac
c16b,18e0,1,c16c
5553,f5a2,0,f59d
a5f8,c1b5,0,c1c1
4747,bc9a,1,4837
6914,2578,0,6914
0806,8560,0,0000
b6e2,4ea0,0,4e84
7ab7,52fe,1,7ab5
555e,11b8,1,555e
e28e,642b,0,5b20
42ce,5cf7,0,5d05
9228,939a,0,96e1
2f59,eedc,0,eedc
e6b3,85ce,0,e6b3
f962,0490,1,f962
fcef,7edd,1,fedd
2dc9,8bbb,0,2dc5
459d,782c,1,f82c
fc71,8576,0,fe71
8d17,e6e1,1,66e1
df43,329c,1,df44
4ea3,5bb6,1,dae2
9aa6,d60b,1,560b
3098,eef2,1,6ef2
6282,d743,1,636a
8544,abc4,1,2bc1
c7fe,6a2f,0,6a2b
e9f5,d764,0,ea30
b70d,c377,1,4295
a9b0,fa9f,1,7a9f
0417,768e,1,f68e
fa81,df6b,0,fa90
258d,247e,1,1c3c
c6bc,21e6,0,c6b9
df12,1f1b,1,df12
63c9,7c49,1,fe49
7a67,72d0,1,78b3
c522,bcab,0,c64d
0b61,62c8,0,62c8
d18f,1466,1,d18f
97dd,39a7,0,39a3
dc7e,4c14,0,dc3d
5440,4678,1,53b1
19fc,6228,0,6228
c1c2,6151,0,614b
4d26,2eef,1,4d1f
3c79,471c,0,481d
33a0,25a5,1,32eb
cbcd,0aa0,0,cbcd
887e,0505,1,8b00
2df1,3d54,1,bcf5
c9ac,2e63,1,c9b9
b1fe,3001,1,b500
fa30,8411,1,fa30
12c4,8b3f,0,10f4
6dd7,ca9e,1,6dda
88a9,2174,1,a187
6b35,28a0,1,6b35
5c41,590b,1,56ee
5683,2d46,0,5684
d6b5,8785,1,d6b5
21bb,6dc6,1,edc6
8a8e,899b,1,8000
fba1,37ba,1,fba1
5d9d,dc5f,0,54f8
9faf,87da,0,9fce
6d62,9b78,0,6d62
8b92,5486,0,5486
6034,c72d,0,6026
2143,dd3d,1,5d3d
2a93,558b,0,558c
2cf8,d05c,0,d05a
370c,1f5f,1,36ef
1c4f,c85c,0,c85b
8144,4409,0,4409
e480,448a,1,e485
eb0f,3182,1,eb0f
1758,2469,1,a3e7
5e45,68f5,1,e82c
7963,9206,1,7963
a43d,e957,0,e957
ae11,6d05,1,ed05
d119,e2b5,1,6263
9832,cfd9,0,cfd9
2aaf,df1d,1,5f1d
576f,2aed,1,576e
4393,36e2,0,4438
30d4,f5b3,1,75b3
d157,4f9c,0,ca24
1301,0c0e,0,1484
c997,3762,0,c95c
55a5,1db6,1,55a5
44e0,ab9a,1,44ef
8b2e,d9a0,0,d9a0
310c,85a9,1,310d
5cf9,299a,1,5cf9
8341,86bd,1,06bd
55fd,c12c,0,55d4
0cad,1114,0,136a
1f71,a1ce,0,9c2b
aac7,ef34,1,6f34
3376,45fc,0,4638
a57b,bcb4,0,bcca
ceda,105e,1,ceda
6d19,09d8,1,6d19
25f2,3b47,0,3b77
a91c,e00f,1,600f
8f1c,8e5c,1,8000
4c04,ebd5,1,6bdd
1f99,a24c,1,250c
86de,f5a9,1,75a9
fcde,f71d,0,fede
4ca5,ae29,0,4c9f
0e27,abd2,1,2bde
4db9,1a8f,1,4db9
6982,a2d1,1,6982
9ee3,ee58,1,6e58
9b4d,c943,0,c943
0fe9,e47d,1,647d
254d,1fa1,0,2735
ee2c,e84f,1,ec04
1115,54eb,0,54eb
646e,d0d1,1,6495
d76a,3c52,0,d759
65d4,2239,0,65d4
530c,f7ed,0,f7e9
3a11,4d81,0,4db2
b153,b8f3,0,ba48
64e3,40f6,0,64e5
fa50,1ef9,0,fa50
491f,1aa6,0,491f
414b,b498,0,40b8
f9e1,6616,1,fa12
64a0,0de9,0,64a0
49b4,5862,1,d807
5444,bee7,1,5460
b16b,8911,1,b16a
bf13,5b47,1,db55
bff3,4d18,0,4c99
a7d9,55f2,0,55f2
ab30,7a5f,1,fa5f
8654,44c8,1,c4c8
67ab,9c7f,1,67ab
ad00,dea4,0,dea4
89ab,00a0,0,89ab
2889,b601,1,3692
b93f,0dd3,0,b93e
0dcb,0a62,0,107e
8bf4,70b8,0,70b8
27d5,1901,0,283b
b3d0,7898,0,7898
6601,6ee2,1,ed62
fe1e,c637,1,fe1e
46ac,8710,0,46ac
713b,56ba,1,712e
07cf,01c5,1,07cf
62c2,d00e,1,6303
3dbf,0f2b,1,3dbf
f197,6b7d,0,ef70
48d4,6f88,0,6f8a
1987,61ae,1,e1ae
27e1,dff8,0,dff8
f51e,8fc0,0,f51e
6807,c7be,1,680b
ee9b,4a46,1,ee9e
6c9d,e613,1,6e22
3137,7f12,1,ff12
1d6c,edf8,0,edf8
e1cf,a5bd,1,e1cf
8f9e,841a,1,8e98
5855,5802,1,4930
c4d1,22ae,1,c4d4
6c26,da39,1,6c58
0cd9,f0d0,1,70d0
7c32,e5e2,1,7e32
dfb3,19cf,1,dfb3
ca3f,c856,1,c3a4
7ad1,a2e9,0,7ad1
6225,c875,0,6213
c581,0fb8,0,c581
b7ac,210a,0,b784
c039,21b5,0,c033
5505,c455,1,554a
5620,7b94,1,fb91
c3a4,bd02,1,c123
6ca8,7de2,0,7fe2
24cc,64b4,1,e4b4
5fb0,6b64,1,ea6e
cf51,9f2b,1,cf51
88d6,5cc5,0,5cc5
1e8e,605c,1,e05c
bfa7,9a83,1,bfa4
e289,45d3,1,e295
58af,0d2b,0,58af
7c9f,5803,0,7e9f
f5e3,ba53,0,f5e3
ed08,8386,0,ed08
d37a,a036,0,d37a
bc21,0a1c,0,bc21
257d,daaa,1,5aaa
6a16,586b,0,6a5d
58a3,8547,1,58a3
7c50,5b05,1,7e50
5de3,9d01,0,5de3
585b,6927,1,e8e1
08fc,f6e1,0,f6e1
b338,08bd,0,b337
8412,9187,0,9209
67b5,edb2,1,6f9f
4548,7fd9,0,7fd9
f343,8524,0,f343
657c,5d5a,0,66d2
afcc,2c39,0,ab26
bb5c,3afb,0,aa10
0f0a,63f7,1,e3f7
d100,faf8,0,faf9
8cd5,5f94,1,df94
23a6,35dc,0,3619
4da5,2d17,1,4da0
3056,18b0,1,3043
5b3a,2c49,1,5b39
4273,2df6,0,42a3
17aa,e2fc,0,e2fc
33d7,bb31,1,3c93
cea1,f4b5,0,f4b7
ddbd,0e87,0,ddbd
d09a,5437,1,d684
b174,9d93,0,b1a1
e271,e870,1,65a8
6d04,2ea3,0,6d04
aa67,5be2,1,dbe2
ec52,b010,0,ec52
5c17,f929,1,7931
df7f,6f8e,0,6f16
591c,10c4,0,591c
5c23,5f83,1,dac0
e059,d367,0,e0cf
8b50,1f15,0,1eda
1d08,769e,0,769e
65e6,40a4,1,65e4
a5df,9c13,1,a4da
5ac5,3ba4,0,5acd
2d86,ac42,0,2510
a2df,5204,0,5204
04fd,e450,1,6450
8fdc,9b71,0,9c36
4507,b2ba,1,453d
2bd3,dbe8,1,5be8
b2c9,29c0,0,b159
6f2b,4d6e,1,6f26
3b96,a348,1,3bb3
ecca,ca86,1,ecc7
a48f,c9a0,1,499e
1ceb,0582,1,1cd5
7bfa,bfda,0,7bfa
ed29,cad4,0,ed2c
b1da,ad8c,0,b450
438d,2b33,1,4370
04cf,9e1e,0,9e0b
5b3b,e5ae,0,e4c7
5f1d,f40a,0,f3db
4440,866f,0,4440
7ae1,f18f,0,797d
a629,2fcc,1,b0ab
d103,a2fd,0,d103
9622,4c86,1,cc86
e3c6,2c17,0,e3c6
5774,22f9,0,5774
03ba,2729,0,2729
86d4,e53c,1,653c
56c5,012f,0,56c5
5450,844e,1,5450
2d64,8c50,0,2d60
0ef5,43e1,1,c3e1
a4ad,fad2,0,fad2
c6e5,85d2,1,c6e5
acaa,0de3,1,acb0
656f,08df,0,656f
a610,2208,0,a218
6a7c,692c,1,6140
47bd,cfb4,0,cdc5
3963,0a8b,1,3963
3625,d25e,0,d252
f112,8d01,1,f112
9624,db00,1,5b00
37f3,ed70,1,6d70
471c,0064,0,471c
7c2c,f77f,1,7e2c
49ef,93e5,0,49ef
0a00,3db3,1,bdb3
a080,19a0,1,a1e8
f437,3bb9,0,f437
4e01,439d,1,4d0d
3d15,8466,1,3d15
8381,b45d,1,345d
63aa,61c1,1,5ba4
d20a,67ff,0,67cf
0b80,5a67,0,5a67
da31,104e,0,da31
73be,666f,0,7446
add7,e794,1,6794
43e3,6434,0,6438
49b4,a230,0,49b2
dbd2,6889,0,680c
2d38,855f,1,2d39
5117,d596,1,5811
3372,3d67,0,3e55
56bc,9abe,0,56bc
1489,e379,1,6379
717f,e77b,0,7090
9580,26d2,1,a72a
9fbb,03dc,0,9fbb
d266,09cb,0,d266
c3e6,da46,1,5a26
7a45,6eca,1,796c
5670,8cc2,0,5670
03cd,55b6,0,55b6
69fb,bdeb,0,69fa
f0e6,07c2,0,f0e6
e30e,9b54,0,e30e
2cec,e40e,1,640e
187b,af08,1,2f2c
5b58,f93c,0,f935
4b8b,3926,1,4b39
e570,0b6a,1,e570
da18,1bac,1,da18
c5e6,cc47,1,499b
c2a1,d258,1,51ee
8fd6,9bd1,0,9c66
7d4c,deb7,1,7f4c
16d9,f4f7,1,74f7
3b68,d57e,0,d56f
09b2,8fd2,1,1156
9cba,7cad,0,7ead
beb2,8edf,1,beb2
a547,719e,1,f19e
60b1,c66b,1,60be
f016,76f0,0,74e5
78d8,956b,1,78d8
056e,69fc,0,69fc
4435,ae19,0,441d
f521,1393,1,f521
71c6,774d,0,7918
af19,b225,1,2d31
7050,316b,1,7050
a97a,6a8b,0,6a8b
3174,b0ab,0,2648
1c9e,d248,1,5248
55e3,2d28,0,55e4
9af8,82eb,1,9af8
dc90,cf32,1,dc1d
7889,fe6c,0,fe6c
4773,aee9,0,4757
a3a7,0585,1,a3b2
6ad7,d104,0,6ac3
efe6,63be,0,eeee
1ddc,6d32,1,ed32
23c7,71a7,1,f1a7
0bb6,3b78,1,bb78
e62d,02aa,0,e62d
396a,ff65,1,7f65
7cf1,068c,1,7ef1
1fbb,13dd,0,205b
093c,469e,1,c69e
fe06,9a31,1,fe06
5fd3,2d27,0,5fd3
2e10,7b73,1,fb73
829c,7ba1,0,7ba1
def9,9283,1,def9
d4dd,979f,0,d4dd
af75,9caa,0,afc0
b806,08b1,0,b806
0a5a,3e93,1,be93
e068,aba3,0,e068
c037,da5d,1,5a4c
81f4,0c45,1,8c45
cb3c,1f54,0,cb3b
c51c,937f,1,c51c
7628,70a7,0,783e
f500,891c,1,f500
a0fb,8a37,0,a114
a0c3,51ea,1,d1ea
274f,7114,0,7114
8fca,59b7,1,d9b7
c24c,05e5,0,c24c
5db2,7480,0,7497
cf1d,ad17,1,cf18
1e99,2033,1,9734
4da4,e709,0,e6f2
ed38,c83f,1,ed36
9ffd,35cd,1,b5ed
1dcf,8719,0,1db3
2eea,07d2,0,2eec
ff2a,e577,1,ff2a
1a16,1cec,1,9784
cf20,6d65,1,ed6c
ae9e,cb23,0,cb30
cc86,b8d5,0,ccad
18ad,1a6e,0,1d8e
e211,a112,1,e211
4aed,0abe,1,4aed
5c63,f66d,1,767f
ed97,0b11,0,ed97
0f25,f8ca,0,f8ca
cb81,ac18,0,cb89
cfa9,476e,0,cdce
46d4,2c26,0,46e5
f8d7,cdbe,0,f8d8
5c5a,7fd8,0,7fd8
e2ec,3785,0,e2eb
7903,3d47,1,7903
16ca,57ee,0,57ee
1b94,3735,0,3744
5fbd,47f0,0,5fdd
298d,2d1b,0,2fe2
3a6a,7931,1,f931
efb1,2e42,0,efb1
7a86,f21e,1,7c00
b5a1,5fec,0,5feb
b2a8,d325,1,531e
2e25,86a9,1,2e27
6ba3,03f4,1,6ba3
fd91,8c5d,0,ff91
9ba3,bc46,1,3c42
4623,d76d,1,57cf
6aaf,4ef2,1,6aa1
0ab7,3ce1,1,bce1
0867,22e2,1,a2d0
baa4,4682,0,45ae
cf77,8bed,1,cf77
8a40,29bd,0,29b7
b9e9,340c,0,b7c6
b308,234c,1,b37d
2321,edd7,1,6dd7
cb58,e195,1,6178
fc5d,e56c,0,fe5d
7181,a069,1,7181
f7e8,d5f6,0,f7ee
db23,d3ba,1,d934
a7b8,4ad3,0,4acf
bb82,7085,1,f085
9eff,a357,0,a56b
b74f,0e8c,0,b74d
9d8e,ae2a,1,2dd1
5ca3,f85b,1,7864
6494,c69a,0,648d
a6d2,a8d8,1,21bc
e2c7,a56e,1,e2c7
1b48,8c6f,1,1bd6
df8f,9f8c,0,df8f
bbc5,b30d,1,ba02
9e3f,0bfd,1,9e7f
2fa1,6628,0,6628
ba05,2ba4,1,ba7f
89c1,c200,1,4200
a087,53d5,0,53d5
4ddd,515b,0,5425
b37a,1484,1,b383
cdff,e382,1,6352
a81e,cd22,1,4d20
42d7,62a7,1,e2a0
cc69,7d77,1,ff77
c061,1b72,1,c063
8445,b5cd,1,35cd
4a52,7536,1,f535
c655,b924,1,c5b0
20a1,cfa6,1,4fa7
2f30,afcd,1,337e
bc2a,1e23,0,bc24
92a5,aad9,0,aaf4
9e33,eb9a,1,6b9a
d13c,074e,0,d13c
cb74,c35b,1,c99d
de46,d29f,0,df1a
06c4,8067,1,06c4
7904,fd41,0,ff41
fb3e,ecfc,0,fbde
b3bf,d87a,0,d87c
22f6,aedc,0,adfd
21c8,2ccf,1,ac16
3414,d97b,0,d979
93a0,6431,0,6431
2acc,9765,1,2b07
fac1,93b4,0,fac1
57e9,7b1c,0,7b20
98a2,194b,0,0d48
3fd0,d21d,1,525c
9fef,2e8d,0,2e0e
a69d,e841,0,e841
8a2c,369c,0,369b
def9,6ac9,1,eba8
ca3e,c85a,1,c390
a07c,2802,0,25c6
e133,527c,0,e0cb
bc7c,2d19,0,bc2a
63c1,bc83,0,63bf
d844,12cb,0,d844
b98e,fa63,0,fa63
8523,d38d,1,538d
6bc7,b584,0,6bc7
8d29,c876,0,c876
c5fb,04a1,1,c5fb
84f9,fce0,1,7ee0
1985,5157,0,5157
8b4a,17e6,0,16fd
3f2a,fa12,0,fa12
